rxcui_a,name_a,rxcui_b,name_b,severity,mechanism,clinical_effect,recommendation
11289,warfarin,5640,ibuprofen,high,additive bleeding risk and CYP2C9 inhibition,major hemorrhage,avoid combination; if needed use acetaminophen instead
11289,warfarin,161,acetaminophen,moderate,enhanced INR via VKORC1 modulation at high doses,prolonged INR and bleeding,limit acetaminophen to 2g/day; monitor INR
4493,fluoxetine,10689,tramadol,high,additive serotonergic activity,serotonin syndrome,avoid combination; consider non-serotonergic analgesic
29046,lisinopril,5640,ibuprofen,high,reduced renal prostaglandin synthesis,acute kidney injury and hyperkalemia,avoid chronic NSAIDs in patients on ACE inhibitors
36567,simvastatin,21212,clarithromycin,high,CYP3A4 inhibition raises simvastatin levels,severe myopathy and rhabdomyolysis,hold simvastatin during macrolide course
703,amiodarone,11289,warfarin,high,CYP2C9 inhibition,bleeding,reduce warfarin dose by 30-50% and monitor INR closely
703,amiodarone,3407,digoxin,high,p-glycoprotein inhibition,digoxin toxicity,reduce digoxin dose by 50% and monitor levels
703,amiodarone,36567,simvastatin,high,CYP3A4 inhibition,rhabdomyolysis,limit simvastatin to 20mg/day
703,amiodarone,21212,clarithromycin,high,additive QT prolongation and CYP3A4 inhibition,torsades de pointes,avoid combination if alternative available
703,amiodarone,82122,levofloxacin,high,additive QT prolongation,torsades de pointes,avoid combination if alternative available
32968,clopidogrel,7646,omeprazole,moderate,CYP2C19 inhibition reduces clopidogrel activation,reduced antiplatelet effect,prefer pantoprazole over omeprazole
4493,fluoxetine,190376,linezolid,high,MAOI-like effect on serotonin,serotonin syndrome,wait 5 weeks after fluoxetine before starting linezolid
136411,sildenafil,4917,nitroglycerin,high,additive nitric-oxide vasodilation,profound hypotension,absolute contraindication
3407,digoxin,5640,ibuprofen,moderate,reduced renal clearance,digoxin toxicity,monitor digoxin level
29046,lisinopril,9997,spironolactone,high,additive hyperkalemia,life-threatening hyperkalemia,monitor potassium and avoid in renal impairment
29046,lisinopril,161,acetaminophen,low,no clinically significant interaction,none documented,no action required
6809,metformin,11289,warfarin,low,no clinically significant interaction,none documented,no action required
11289,warfarin,21212,clarithromycin,moderate,CYP3A4 inhibition raises warfarin levels,bleeding,monitor INR closely during macrolide course
36567,simvastatin,5640,ibuprofen,low,minimal pharmacokinetic interaction,no clinically meaningful effect,no action required
3407,digoxin,11289,warfarin,low,no clinically significant interaction,none documented,no action required
3407,digoxin,5640,ibuprofen,moderate,reduced renal clearance of digoxin,digoxin toxicity,monitor digoxin level and renal function
